Time_Seconds,Best_Fitness
14214.87,43734.0
14220.83,43734.0
14226.79,43734.0
14232.74,43734.0
14238.64,43734.0
14244.7,43734.0
14250.66,43734.0
14256.68,43734.0
14262.63,43734.0
14268.56,43734.0
14274.55,43734.0
14280.47,43734.0
14286.41,43734.0
14292.35,43734.0
14298.34,43734.0
14304.35,43734.0
14310.42,43716.0
14316.35,43716.0
14322.35,43714.0
14328.32,43714.0
14334.32,43714.0
14340.24,43714.0
14346.21,43714.0
14352.17,43714.0
14358.09,43714.0
14364.04,43714.0
14369.92,43714.0
14375.89,43714.0
14381.81,43714.0
14387.82,43714.0
14393.74,43714.0
14399.7,43714.0
14405.65,43714.0
14411.58,43714.0
14417.5,43714.0
14423.47,43714.0
14429.39,43714.0
14435.34,43714.0
14441.3,43714.0
14447.22,43714.0
14453.21,43714.0
14459.14,43714.0
14465.03,43714.0
14470.95,43714.0
14476.88,43714.0
14482.93,43714.0
14488.86,43714.0
14494.79,43714.0
14500.74,43714.0
14506.78,43714.0
14512.73,43714.0
14518.67,43714.0
14524.6,43714.0
14530.56,43714.0
14536.48,43714.0
14542.45,43714.0
14548.44,43714.0
14554.32,43714.0
14560.26,43714.0
14566.2,43714.0
14572.13,43714.0
14578.07,43714.0
14584.03,43714.0
14589.97,43714.0
14595.92,43714.0
14601.83,43714.0
14607.81,43714.0
14613.79,43714.0
14619.76,43714.0
14625.69,43714.0
14631.67,43714.0
14637.54,43714.0
14643.45,43714.0
14649.46,43714.0
14655.42,43714.0
14661.36,43714.0
14667.27,43714.0
14673.23,43714.0
14679.19,43714.0
14685.13,43714.0
14691.13,43714.0
14697.05,43714.0
14703.02,43714.0
14708.98,43714.0
14714.89,43714.0
14720.95,43714.0
14726.98,43714.0
14732.92,43714.0
14738.82,43714.0
14744.78,43714.0
14750.65,43714.0
14756.58,43714.0
14762.51,43714.0
14768.53,43714.0
14774.45,43714.0
14780.37,43714.0
14786.26,43714.0
14792.27,43714.0
14798.2,43714.0
14804.16,43714.0
14810.15,43714.0
14816.08,43714.0
14822.03,43714.0
14828.01,43714.0
14833.92,43714.0
14839.87,43714.0
14845.85,43714.0
14851.77,43714.0
14857.68,43714.0
14863.64,43714.0
14869.56,43714.0
14875.42,43714.0
14881.3,43714.0
14887.28,43714.0
14893.43,43714.0
14899.43,43714.0
14905.38,43714.0
14911.35,43714.0
14917.32,43714.0
14923.27,43714.0
14929.17,43714.0
14935.1,43714.0
14941.01,43714.0
14946.95,43714.0
14952.89,43714.0
14958.84,43714.0
14964.88,43714.0
14970.86,43714.0
14976.81,43714.0
14982.78,43714.0
14988.72,43714.0
14994.65,43714.0
15000.55,43714.0
15006.52,43714.0
15012.54,43714.0
15018.5,43714.0
15024.47,43714.0
15030.33,43714.0
15036.2,43714.0
15042.14,43714.0
15048.09,43714.0
15054.05,43714.0
15059.94,43714.0
15065.89,43714.0
15071.8,43714.0
15077.8,43714.0
15083.7,43714.0
15089.59,43714.0
15095.64,43714.0
15101.59,43714.0
15107.52,43714.0
15113.45,43714.0
15119.41,43714.0
15125.35,43714.0
15131.31,43714.0
15137.25,43714.0
15143.17,43714.0
15149.12,43714.0
15155.0,43714.0
15161.09,43714.0
15167.07,43714.0
15173.06,43714.0
15178.97,43714.0
15184.91,43714.0
15190.88,43714.0
15197.02,43714.0
15203.0,43714.0
15208.93,43714.0
15214.86,43714.0
15220.85,43714.0
15226.82,43714.0
15232.84,43714.0
15238.87,43714.0
15244.8,43714.0
15250.82,43714.0
15256.73,43714.0
15262.67,43714.0
15268.64,43714.0
15274.57,43714.0
15280.61,43714.0
15286.55,43714.0
15292.57,43714.0
15298.51,43714.0
15304.46,43714.0
15310.46,43714.0
15316.39,43714.0
15322.36,43714.0
15328.28,43714.0
15334.3,43714.0
15340.2,43714.0
15346.16,43714.0
15352.05,43714.0
15357.93,43714.0
15363.89,43714.0
15369.83,43714.0
15375.74,43714.0
15381.72,43714.0
15387.59,43714.0
15393.54,43714.0
15399.48,43714.0
15405.45,43714.0
15411.41,43714.0
15417.41,43714.0
15423.29,43714.0
15429.22,43714.0
15435.26,43714.0
15441.32,43714.0
15447.23,43714.0
15453.21,43714.0
15459.14,43714.0
15465.05,43714.0
15471.01,43714.0
15476.93,43714.0
15482.82,43714.0
15488.77,43714.0
15494.74,43714.0
15500.65,43714.0
15506.58,43714.0
15512.5,43714.0
15518.39,43714.0
15524.26,43714.0
15530.15,43714.0
15536.09,43714.0
15542.11,43714.0
15548.05,43714.0
15554.03,43714.0
15559.98,43714.0
15565.89,43714.0
15571.84,43714.0
15577.85,43714.0
15583.77,43714.0
15589.73,43714.0
15595.71,43714.0
15601.67,43714.0
15607.63,43714.0
15613.61,43714.0
15619.55,43714.0
15625.51,43714.0
15631.47,43714.0
15637.39,43714.0
15643.32,43714.0
15649.27,43714.0
15655.17,43714.0
